type,amount,address
cpgf,30.1369863,tnam1qyctcwkgthr06k7lx38zmjka5dakmvhhyyr0zafu
cpgf,30.1369863,tnam1qxsx2ezu89gx252kwwluqp7hadyp285tkczhaqg0
cpgf,30.1369863,tnam1q8jrrf8s22cwd22yxhwc38tlvahplh2wyqjzl9gx
cpgf,30.1369863,tnam1q9vrp45qtphed4q2vc382qrtf2gfykf50vssfe2h
cpgf,30.1369863,tnam1q8lhvxys53dlc8wzlg7dyqf9avd0vff6wvav4amt
cpgf,30.1369863,tnam1q870s4a5zza2ge5d4lteew3cfp8npu9d2clx5xrv
cpgf,30.1369863,tnam1qya90eeuaxn47ajfjp08f8zzgjtmhy0lmyxn26gu
cpgf,30.1369863,tnam1qy500vdqtcumxzfhjccrhdx9j9wawhsyg536thwn
cpgf,30.1369863,tnam1q96k4cmpem5n6tun5qap7vqfxv5fx9hzucp8lqt0
cpgf,30.1369863,tnam1q8sjkutd5kqwcc555wr77p9fjn66nuuqfuzzc3yc
cpgf,30.1369863,tnam1qxzwta6uhcsv40a8l4g5t07q0ey50c9dlyt3s272
cpgf,30.1369863,tnam1qyx57588ejm4ltfldr4kvftmcr8plkx7eykxkmsj
cpgf,30.1369863,tnam1qx6k7xv66y58jw2jngtt98x0r9k3wtljxqd7qe2l
cpgf,30.1369863,tnam1qyx2vmne6th0nfk9lnwdz3mpwzslsaj5xc0x8ucu
cpgf,30.1369863,tnam1qygyng6guhgj7jy4cfe2pxmsle6sakcvqv3cnlg6
cpgf,30.1369863,tnam1q96knx9lhndg9749waeqq974zyqxz8yv0slmy39v
cpgf,30.1369863,tnam1qynwajactps386eslhnuc8lskzky45jf2sehtnka
cpgf,30.1369863,tnam1q8wldcr49mhm92a69fmf847d8rn48e6gcql2s4ya
cpgf,30.1369863,tnam1qxmtqlxlt26xt72wp5x6spejllc5z9vd6qurrlzj
cpgf,30.1369863,tnam1q98f4snsa7r5lmkc9d66k29r4m0eqpv2j5f7vw8d
cpgf,30.1369863,tnam1q8xasrt0q8qrkqj5s9r9xw3ee0gx5mqwyukhe699
cpgf,30.1369863,tnam1qy7fms2m4kpx5khvp4x7r3pr8e4xdqghpsrsd0pn
cpgf,30.1369863,tnam1q9smrtxu29qvy90sa9kvelettqkdcr4fesmg3wc9
cpgf,30.1369863,tnam1qydvhqdu2q2vrgvju2ngpt6yhrehu525pus6m28p
cpgf,30.1369863,tnam1qy24smlm8tdg8vawx8xh30fxa8kcwnudkvufz9zn
cpgf,30.1369863,tnam1qy9htx7f43s3g4220ljzmua65vp5sw9ah5vm6xdu
cpgf,30.1369863,tnam1qx2xz8ggmzgfgkj5n33fzumq3lept6hf7yqxcrex
cpgf,30.1369863,tnam1qyvc8n7ufmpan4yy3nemm3td2c6uff4m6s72g3eg
cpgf,30.1369863,tnam1qx4ztg0ca0tu2aw056ksuek5y58tmg454shk6svw
cpgf,30.1369863,tnam1q8qt5qy99fvuhltq3pg20k223crauw6phulv0kfj
cpgf,30.1369863,tnam1qxxp8yu7ceh7hymkclutkqwhlgcydqzjryflmx32
cpgf,30.1369863,tnam1q9hafe0nf5k7pnkcmzp4tezgux6v7a6r25yqfe60
cpgf,30.1369863,tnam1qx64zytr93rjj23ztf32y2rnrxwlm9j6svyznxez
cpgf,30.1369863,tnam1qy43rawgevk9jcun495r9sn8pyu7yhxzhgph6e4g
cpgf,30.1369863,tnam1q8d8ypu5j88qqvx89grct795uap82dtlqvjqjh3h
cpgf,30.1369863,tnam1q87f9g34lagl5e6y482fwtad7870rk4vzsqaq7mf
cpgf,30.1369863,tnam1qyf80vw4e8aa2efuk4jsg9lpwxrntsj2dql4tssa
cpgf,30.1369863,tnam1q9vjuxuwdv9muek3ekvvjfngyt973agg2c5c7hxp
cpgf,30.1369863,tnam1q829u6jedv7y4yek2gfrh77qaz9qe3veduzkdyk4
cpgf,30.1369863,tnam1qygz4sn400y9g90rt5jx6ja0wrcx3y7u0c0ue6dq
cpgf,30.1369863,tnam1q8yksf6xqm6u8e2axhy7wyx0elslnh7tdsrp2y9m
cpgf,30.1369863,tnam1qx7apjd6puv09zenlgcjg5q9l74y6ax4sqvyhp6y
cpgf,30.1369863,tnam1q9pt4hukg0ga362jq2slhg4tuf692zqqngzzz54k
cpgf,30.1369863,tnam1qy0zrla88txv244suxaruqgr9g74vr8vyufd8rp7
cpgf,30.1369863,tnam1q8a2xwh072herrmlgf06gvrhna775sqjuufnxydn
cpgf,30.1369863,tnam1q93th4stcuxfs0h8kn9uw0uhdj59dfa5hu768v4t
cpgf,30.1369863,tnam1qy3m25cx7gd67vyz5px5wjj5gcy4pfhnnux9mhcr
cpgf,30.1369863,tnam1q8f8uln5yv9zx7sgyaakc3fzldm42kjg9y7tpej2
cpgf,30.1369863,tnam1qy93z8ek2wwm3l3nd9gl872n2argnjfrwstywpmj
cpgf,30.1369863,tnam1q9wgwx9zwmcawup0w2tdllt6pwyad87szuc4f7wq
cpgf,30.1369863,tnam1q9sdarpylwxd5vv3e8u6wstrpz052jhls5g4a3wg
cpgf,30.1369863,tnam1qygycq5aejv4aypdppldrar2jnplmyt8ussdvjyr
cpgf,30.1369863,tnam1qyxd5eh0mf49at77dursxnlsygn5se6d45tj5y47
cpgf,30.1369863,tnam1q99e0kqh32q6s3f3mr0ds772edyg7862jgj23fhh
cpgf,30.1369863,tnam1qy6y8ws67ks2p5jl53s6yukre554mhwrugdp8vjh
cpgf,30.1369863,tnam1qxc286h5qmx9x2vdv8k9gy0ll878gna9dgy4rv40
cpgf,30.1369863,tnam1q96m7kwchdgzjk7dpvxkq3dxwzjhyjcggyuua5xf
cpgf,30.1369863,tnam1q8cfpdka8ddcwyxkaf7sjtpdg3xrv5j9pq5rv70w
cpgf,30.1369863,tnam1q8hck7594xqw9dz35m8wwtgtvdxf4xn0mg908r8x
cpgf,30.1369863,tnam1qxq08djyzzrhgchwv2datwhk3cghtseg953ruh2y
cpgf,30.1369863,tnam1q8dtazgc7y9xx00lq4d2pnacvtz29p5mvcxwat74
cpgf,30.1369863,tnam1q8hfzffj0ckxumqgvu3thal3wprzt4c7eypss6ts
cpgf,30.1369863,tnam1qyp32zcympg4vlkmu72u33szdgv6qcf3vgrr8w3j
cpgf,30.1369863,tnam1q8tzr86aw8kh2f66vukkhnghppkp0xckdy3xzrgx
cpgf,30.1369863,tnam1qyplu8gruqmmvwp7x7kd92m6x4xpyce265fa05r6
